atlas_id,sample_id,study_id,data_source,organ,subtype,grade,sample_type,annotation_confidence,qc_flag,LibraryStrategy,spots,bases,SampleName,Experiment,BioProject,BioSample,collection_date,atlas_version,Run,ReleaseDate,LoadDate,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,Study_Pubmed_id,ProjectID,Sample,SampleType,TaxID,ScientificName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,GSM,is_NEN,matched_cell_line,nen_class,title,summary,geo_id,n_samples,platform,pubmed_id
NETA_000001,GSE100183,GSE100183,GEO,Skin,Merkel Cell,Unknown,Cell_Line,Medium,FALSE,NA,NA,NA,GSE100183,GSE100183,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MYCL and EP400 are required for Max and MCPyV mediated gene activation,"To determine if MYCL or EP400 knockdown would affect Max target genes in Merkel cell carcinoma cell line MKL-1, we performed RNA-seq analyses of MKL-1 cells inducibly expressing shMYCL and two different EP400 shRNA -2, -3 and compared to ChIP-seq data using BETA analyses.",GSE100183,15,18573,29028833
NETA_000002,GSE102246,GSE102246,GEO,Lung,Atypical Carcinoid,Unknown,Cell_Line,Medium,FALSE,NA,NA,NA,GSE102246,GSE102246,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mTOR kinase inhibition effectively decreases progression of a subset of neuroendocrine tumors that progress on rapalog therapy and delays cardiac impairment,"Inhibition of mTOR signaling using the rapalog everolimus is an FDA-approved targeted therapy for patients with lung and gastroenteropancreatic neuroendocrine tumors (NET). However, patients eventually progress on treatment, highlighting the need for additional therapies. We focused on pancreatic NETs (pNETs) and reasoned that treatment of these tumors upon progression on rapalog therapy, with an mTOR kinase inhibitor (mTORKi) such as CC-223 could overcome a number of resistance mechanisms in tumors and delay cardiac carcinoid disease. We performed preclinical studies using human pNET cells in vitro and injected them subcutaneously or orthotopically to determine tumor progression and cardiac function in mice treated with either rapamycin alone or switched to CC-223 upon progression. Detailed signaling and RNA sequencing analyses were performed on tumors that were sensitive or progressed on mTOR treatment. Approximately 57% of mice bearing pNET tumors which progressed on rapalog therapy showed a significant decrease in tumor volume upon a switch to CC-223. Moreover, mice treated with an mTORKi exhibited decreased cardiac dilation and thickening of heart valves than those treated with placebo or rapamycin alone. In conclusion, in the majority of pNETs that progress on rapalogs, it is possible to reduce disease progression using an mTORKi, such as CC-223. Moreover, CC-223 had an additional transient cardiac benefit on valvular fibrosis compared to placebo- or rapalog-treated mice. These results provide the preclinical rationale to further develop mTORKi clinically upon progression on rapalog therapy and to further test their long term cardioprotective benefit in those NET patients prone to carcinoid syndrome.",GSE102246,27,15433,28864682
NETA_000003,GSE115701,GSE115701,GEO,Lung,Unknown,Unknown,Primary_Tumor,Low,FALSE,NA,NA,NA,GSE115701,GSE115701,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transcriptomic hallmarks of tumor plasticity and stromal interactions in brain metastasis [MultiDisease],"We report that well-defined xenograft models of leading sources of CNS metastasis (melanoma, breast cancer, lung cancer) undergo specific transcriptomic alterations upon entering the brain microenvironment. This dataset can be utilized to explore the mechanisms of tumor cell plasticity as well as the co-adaptation of the brain microenvironment to metastatic disease.",GSE115701,22,16791;22245;17021,NA
NETA_000004,GSE117988,GSE117988,GEO,Skin,Merkel Cell,Unknown,Primary_Tumor,Medium,FALSE,NA,NA,NA,GSE117988,GSE117988,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scRNAseq reveals mechanisms of Merkel cell carcinoma acquired immunotherapy resistance [1],"Serial blood draws from a single patient and serial tumor biopsies from the same patient with metastatic Merkel cell polyomavirus Merkel cell carcinoma, who was treated with cellular immunotherapy targeting MCPyV (autologous endogenous T cell therapy) followed by checkpoint inhibitors (anti-PD1 and anti-CTLA4). The patient had a 22 month clinical response followed by late/acquired resistance. We performed scRNAseq using the 10x genomics 3' Chromium expression assay to determine potential mechanisms contributing to immunotherapy response and late resistance",GSE117988,6,16791,30250229
NETA_000005,GSE118014,GSE118014,GEO,Pancreas,PanNET,Unknown,Primary_Tumor,Medium,FALSE,NA,NA,NA,GSE118014,GSE118014,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transcriptome of human non-functional pancreatic neuroendocrine tumors (PanNETs),"The most commonly mutated genes in pancreatic neuroendocrine tumors (PanNETs) are ATRX, DAXX, and MEN1. Little is known about the cells-of-origin for non-functional neuroendocrine tumors. Here, we genotyped 64 PanNETs for mutations in ATRX, DAXX, and MEN1 and found 37 tumors (58%) carry mutations in these three genes (A-D-M mutant PanNETs) and this correlates with a worse clinical outcome than tumors carrying the wild-type alleles of all three genes (A-D-M WT PanNETs). We performed RNA sequencing and DNA-methylation analysis on 33 randomly selected cases to reveal two distinct subgroups with one group consisting entirely of A-D-M mutant PanNETs. Two biomarkers differentiating A-D-M mutant from A-D-M WT PanNETs were high ARX gene expression and low PDX1 gene expression with PDX1 promoter hyper-methylation in the A-D-M mutant PanNETs. Moreover, A-D-M mutant PanNETs had a gene expression signature related to that of alpha cells (pval < 0.009) of pancreatic islets including increased expression of HNF1A and its transcriptional target genes. This gene expression profile suggests that A-D-M mutant PanNETs originate from or transdifferentiate into a distinct cell type similar to alpha cells.",GSE118014,33,11154,30315258
NETA_000006,GSE118056,GSE118056,GEO,Skin,Merkel Cell,Unknown,Primary_Tumor,Medium,FALSE,NA,NA,NA,GSE118056,GSE118056,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scRNAseq reveals mechanisms of Merkel cell carcinoma acquired immunotherapy resistance [2],PBMC and tumor specimen from a Merkel cell carcinoma tumor at time of immunotherapy resistance,GSE118056,4,24676,30250229
NETA_000007,GSE118131,GSE118131,GEO,Lung,GI NET,Unknown,Primary_Tumor,Medium,TRUE,NA,NA,NA,GSE118131,GSE118131,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transcriptomic profiling of human Lung Carcinoids (LCs),"Lung carcinoids (LCs) are rare and slow growing primary lung neoplasms that are understudied. Here, we performed targeted exome sequencing using a 354-cancer gene panel (n=29), mRNA sequencing (n=30) and DNA methylation assay (n=18) on macro-dissected lung carcinoids. The mutations we identified were enriched for genes involved in covalent histone modification/chromatin remodeling (34.5%) (MEN1, ARID1A, KMT2C and KMT2A were recurrently mutated) as well as DNA repair (17.2%) pathways. Unsupervised clustering and principle component analysis on gene expression and DNA methylation profiles showed 3 robust molecular subtypes (LC1, LC2, LC3) with distinct clinical features. MEN1 gene mutations were found to be enriched and exclusively in the LC2 subtype (p-value<0.001). The LC3 subtype is predominately found at endobronchial lung and earlier age of diagnosis. Immunohistochemical staining of two biomarkers, ASCL1 and S100, is sufficient to stratify the three subtypes. This molecular classification of lung carcinoids into three subtypes may help improve treatment decision and clinical management.",GSE118131,30,11154,31300474
NETA_000008,GSE122688,GSE122688,GEO,Lung,Unknown,Unknown,Primary_Tumor,Low,FALSE,NA,NA,NA,GSE122688,GSE122688,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genome-wide co-localization of RNA-DNA interactions and fusion RNA pairs (RNAseq),"Despite the ever-increasing speed of detecting fusion transcripts in cancer, it remains formidable to predict what unreported RNA pairs can form new fusion transcripts. By systematic mapping of chromatin-associated RNAs (caRNAs) and their respective genomic interaction loci, we obtained genome-wide RNA-DNA interaction maps from two non-cancerous cell types. The gene pairs involved in RNA-DNA interactions in these normal cells exhibited strong overlap with those with cancer-derived fusion transcripts. These data suggest an RNA-poise model, where the spatial proximity of one gene’s transcripts and the other gene’s genomic sequence poises for the creation of fusion transcripts. We validated this model with 96 additional lung cancer samples. One of these additional samples exhibited fusion transcripts without a corresponding fusion gene, suggesting that genome-recombination is not a required step of the RNA-poise model.",GSE122688,70,20301,30718424
NETA_000009,GSE124857,GSE124857,GEO,Skin,Merkel Cell,Unknown,Cell_Line,Medium,FALSE,NA,NA,NA,GSE124857,GSE124857,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSD1 transcriptome analysis in Merkel cell carcinoma (MCC) cell lines,"Merkel cell carcinoma (MCC) is an aggressive neuroendocrine cancer of the skin, caused by either excessive UV damage or integration of the Merkel cell polyomavirus (MCV) genome. Here, we report that virally encoded MCV small T antigen (ST) establishes dependence on the LSD1 transcriptional repressor. Inhibition of LSD1 reduces growth of MCV-positive MCC and suppresses ST’s transformation capacity in vitro and in vivo. To define the mechanism of LSD1 inhibition in MCC, we performed a CRISPR loss-of-function library screen. We found that deletion of components of the non-canonical (ncBAF) chromatin remodeler complex confers resistance to LSD1 inhibitors and that LSD1 and ncBAF antagonistically regulate an overlapping set of genes involved in neuron differentiation. Our work provides mechanistic insight into the dependence of MCC on LSD1 and the role of ncBAF as a tumor suppressor in cancer.",GSE124857,42,18573,32415271
NETA_000010,GSE124861,GSE124861,GEO,Skin,Merkel Cell,Unknown,Cell_Line,Medium,FALSE,NA,NA,NA,GSE124861,GSE124861,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSD1 and BRD9 transcriptome analysis in the MKL-1 Merkel cell carcinoma (MCC) cell line,"Merkel cell carcinoma (MCC) is an aggressive neuroendocrine cancer of the skin, caused by either excessive UV damage or integration of the Merkel cell polyomavirus (MCV) genome. Here, we report that virally encoded MCV small T antigen (ST) establishes dependence on the LSD1 transcriptional repressor. Inhibition of LSD1 reduces growth of MCV-positive MCC and suppresses ST’s transformation capacity in vitro and in vivo. To define the mechanism of LSD1 inhibition in MCC, we performed a CRISPR loss-of-function library screen. We found that deletion of components of the non-canonical (ncBAF) chromatin remodeler complex confers resistance to LSD1 inhibitors and that LSD1 and ncBAF antagonistically regulate an overlapping set of genes involved in neuron differentiation. Our work provides mechanistic insight into the dependence of MCC on LSD1 and the role of ncBAF as a tumor suppressor in cancer.",GSE124861,8,18573,32415271
