Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,GSM,is_NEN,matched_cell_line,organ,nen_class,grade,subtype,data_source,title,summary,geo_id,n_samples,platform,pubmed_id,sample_type
SRR6413058,2018-10-01T17:35:05Z,2017-12-22T14:22:50Z,25638704,1307573904,0,51,889,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413058.sralite.1,SRX3506073,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783627,SAMN08234304,simple,9606,Homo sapiens,GSM2899107,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,17E048638C90A2CDD6DDBA0C1F38B436,6124BFDC18F7F848FE28AF3219DDAF59,GSM2899107,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413062,2018-10-01T17:35:05Z,2017-12-22T14:24:02Z,32434539,1654161489,0,51,1123,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413062.sralite.1,SRX3506077,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783630,SAMN08234300,simple,9606,Homo sapiens,GSM2899111,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,A3A834491DA4CF8654826F3A58A5BCF4,35866EEFFD605AE315D9B530667CE94A,GSM2899111,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413066,2018-10-01T17:35:05Z,2017-12-22T14:25:38Z,33443841,1705635891,0,51,1176,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413066.sralite.1,SRX3506081,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783634,SAMN08234296,simple,9606,Homo sapiens,GSM2899115,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,98E125476A975F075BCB96C0801BECBE,14ACB5AC721F6A1492EBE410BB03860D,GSM2899115,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413070,2018-10-01T17:35:05Z,2017-12-22T14:26:18Z,29990794,1529530494,0,51,1048,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413070.sralite.1,SRX3506085,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783639,SAMN08234292,simple,9606,Homo sapiens,GSM2899119,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,3BF937FF793A227C96EA0DDE185A7075,F7B2D057A763EB34E4DAC214A0863B67,GSM2899119,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR8615465,2019-03-27T12:24:28Z,2019-02-23T23:27:53Z,110595579,22340306958,110595579,202,11250,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/615/SRR8615465.sralite.1,SRX5414288,RNASeq-NCIH727_LUNG,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186687,PRJNA523380,2,523380,SRS4395277,SAMN10988551,simple,9606,Homo sapiens,NCIH727_LUNG,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,BROAD INSTITUTE,SRA851721,NA,public,CA8BB251D7FFA89D161917DB6E625A9E,AC88D050268CABB84E975A13B0D79B20,NA,FALSE,NA,Lung,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413048,2018-10-01T17:35:05Z,2017-12-22T14:25:18Z,22097439,1126969389,0,51,775,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413048.sralite.1,SRX3506063,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783616,SAMN08234266,simple,9606,Homo sapiens,GSM2899097,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,67C76B8C97A0D167B72E269F674145A9,EB465049173422F286B3E011FE404F08,GSM2899097,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413049,2018-10-01T17:35:05Z,2017-12-22T14:25:53Z,25362178,1293471078,0,51,879,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/413/SRR6413049/SRR6413049.sralite.1,SRX3506064,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783618,SAMN08234265,simple,9606,Homo sapiens,GSM2899098,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,5A428268D9957E326DAAD5E7F0A0C519,F13AE1AC16C7B8D890870B8A63BEF2D0,GSM2899098,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413051,2018-10-01T17:35:05Z,2017-12-22T14:25:54Z,31062911,1584208461,0,51,1077,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/413/SRR6413051/SRR6413051.sralite.1,SRX3506066,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783615,SAMN08234263,simple,9606,Homo sapiens,GSM2899100,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,8A63169045B443C354EBE12E8A660F61,E1016470756189E63C7EBE93B61D7F01,GSM2899100,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413054,2018-10-01T17:35:05Z,2017-12-22T14:30:08Z,26461100,1349516100,0,51,927,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413054.sralite.1,SRX3506069,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783624,SAMN08234260,simple,9606,Homo sapiens,GSM2899103,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,6C8D9118C6F9C96A1FFB3420BD12CB6A,9D2807B177A6399612D81298D54BFB71,GSM2899103,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413056,2018-10-01T17:35:05Z,2017-12-22T14:25:42Z,24593338,1254260238,0,51,862,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413056.sralite.1,SRX3506071,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783623,SAMN08234306,simple,9606,Homo sapiens,GSM2899105,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,1DDCE3BB2F571504E31EB3B3C27CD73F,89D19276849F3638DA1CD624F4F8ADFF,GSM2899105,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
