Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
KNOP1,5.237974541857635,8.640651055162301,157.75750482178208,2.0992112587999463e-295,6.1886847120681216e-291,665.5862620061321
RTCB,5.355573705659376,8.979766833662223,148.38405222305252,2.3266599296859232e-287,3.429613069353535e-283,647.3863153121591
CMTR1,5.454948539388165,8.78639854432304,140.89139490844428,1.4490947755578212e-280,1.424025435940671e-276,631.98152486086
SMIM12,5.356341656085618,8.204579522740332,140.30212261427297,5.131386612980413e-280,3.781960218431889e-276,630.735227306912
TCAIM,5.128528706124649,8.390454282308209,137.98410659053744,7.803480446375945e-278,4.601088140792185e-274,625.7811883341171
SDE2,5.216074717938336,8.699912917636928,133.8195034501552,8.004180453434279e-274,3.932854065794933e-270,616.6676526573831
NELFCD,5.569059072167141,9.082746978572406,129.94900759840635,5.504998902926641e-270,2.31846960938829e-266,607.9403643558933
HNRNPLL,5.336749876635649,9.32639991274434,129.8779835861506,6.489339957883883e-270,2.3914028912296845e-266,607.7778118254174
VPS51,6.441558854053987,8.383259369336393,126.12555863268244,4.378779883235371e-266,1.4343423304184662e-262,599.0617188940532
NELFE,5.53568011594066,8.909213588022475,125.08611748840951,5.265688273747451e-265,1.552377559983486e-261,596.6018418922047
UQCC2,5.201451798649275,8.545407367440724,124.02944611904904,6.735121576794956e-264,1.805073810959019e-260,594.0803802190231
VIPAS39,5.187587408182695,8.28382875743166,122.25295515722203,5.1268625983004e-262,1.259541968837451e-258,589.793056641963
OGFOD3,6.146917221423445,7.937024821565336,121.50977866160613,3.1971275481237854e-261,7.250347480479794e-258,587.9812396214055
TIMM10B,5.949308329874711,7.953960039979649,120.39496203765773,5.081216829806782e-260,1.0699953811395267e-256,585.2428148171979
RMDN3,5.225152664280138,8.20118255523973,119.91077028317783,1.7021848845809615e-259,3.345474172155422e-256,584.0456686976349
MTFR1L,5.214286041083918,8.357309672146426,119.68609134782234,2.9876557871475097e-259,5.504942516305983e-256,583.4885424747089
BLOC1S6,5.316099969213768,9.234293810188099,118.98664799824724,1.732819730758426e-258,3.0050152048523035e-255,581.7475586558149
OARD1,5.062382249063628,8.28465171279224,117.90421208202645,2.6835881887460276e-257,4.3952701884678685e-254,579.0333511434781
HMCES,5.358493788020455,8.499481468149439,115.63742639671324,9.013980584733602e-255,1.3986376927291122e-251,573.269313570187
AREL1,5.448516403667561,9.609274718335747,114.42143639985865,2.136171970048111e-253,3.148824292449418e-250,570.131510384045
GUCD1,6.779416821995871,8.32980609961477,113.81562543343252,1.0465018049674985e-252,1.4691390339165154e-249,568.5560592944161
OSER1,5.457662631326924,8.312885497582146,113.7722584024605,1.172939058462335e-252,1.571791653751277e-249,568.442966544365
NELFB,6.460422925861051,8.513260331379827,113.68614769898429,1.4712543812864442e-252,1.8858282789002462e-249,568.2182818168213
TANGO6,5.180123118951414,7.959852571856038,113.58071476153229,1.9421355177823028e-252,2.3856707166558363e-249,567.9429540843171
GPALPP1,5.222080955489999,8.890408136463796,113.24523075613479,4.706628930974115e-252,5.550245100561916e-249,567.0652077637002
CNOT11,5.225130644184603,9.119247469013718,112.23017451425791,6.958379974138891e-251,7.890000000676487e-248,564.3939240868557
SNHG16,5.862861526980049,9.231633803848455,110.99527849721355,1.902504870492788e-249,2.0773239291480697e-246,561.1121685710293
COA1,5.280244991627462,8.831829556118514,109.63369519761947,7.608269031550745e-248,8.010692118540983e-245,557.4523018369609
MIEF1,5.526444086961389,8.91658965453586,109.31733837954702,1.8038493610222558e-247,1.8337683797343836e-244,556.5956281780705
ZSCAN25,6.064578471700244,7.499603502484928,109.20506429856005,2.4519080162574832e-247,2.409490007576229e-244,556.2910183635339
STRIP1,5.370927656678809,8.57027848336417,107.70230506005619,1.5359688624758215e-245,1.4607063882145063e-242,552.184382203123
SMIM7,5.649559925987985,8.135371257056246,107.60180319112462,2.0295597440972917e-245,1.869795337991633e-242,551.9077593022121
ASB16-AS1,5.937911013964715,7.039126848570473,106.8977444910117,1.4395053741458007e-244,1.2860017556118895e-241,549.9628512792201
