ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,96/1943,400/18986,0.24,2.3451569737519296,9.18076087566862,8.228111974353005e-16,4.693315070170954e-12,4.306333972261383e-12,56941/3493/7297/3500/3494/3502/3507/3539/3538/2214/3503/713/3134/3501/714/712/28442/28392/28444/28388/84861/3495/28457/7133/3665/26022/28452/28468/28394/5777/28424/920/28448/972/3560/6778/710/89857/28408/28450/2213/6556/10865/64581/28473/5551/3122/28423/10859/1439/28420/3718/3575/2212/3133/28439/28395/2207/3566/9173/3824/28434/6097/2302/10312/925/3635/3726/11006/114836/8741/7128/5788/64005/939/201294/3554/911/4063/64218/54440/3123/28429/1512/374383/3514/6693/3383/3662/634/958/3537/6363/28396/1191/8284,96
GO:0002443,leukocyte mediated immunity,107/1943,485/18986,0.22061855670103092,2.1557714449437846,8.705904666636759,8.635555577897452e-15,2.4628604508163535e-11,2.2597885438582178e-11,56941/55904/8509/3493/3500/3494/3502/3507/3539/3538/2214/3503/713/3134/3501/714/712/28442/3965/28392/6688/3689/28444/7305/28388/84861/3495/28457/7133/3665/28452/2242/28468/28394/5777/28424/28448/10417/972/3560/6778/2268/710/28408/28450/2213/10865/64581/2671/28473/6348/5551/3122/28423/10859/6813/1439/5730/28420/11151/3718/3575/2212/8832/3133/28439/28395/4818/2207/3566/3824/914/28434/11314/2302/10312/925/3635/11006/114836/5880/8741/5788/64005/939/201294/3554/911/115727/54440/3123/28429/684/1512/374383/3514/6693/3383/634/958/3537/8673/28396/10814/2922/1191/8284,107
GO:0016064,immunoglobulin mediated immune response,58/1943,209/18986,0.27751196172248804,2.7117046347211313,8.401513809106635,7.559226091246388e-13,1.192968668910954e-9,1.0946040122952062e-9,56941/3493/3500/3494/3502/3507/3539/3538/2214/3503/713/3501/714/712/28442/28392/28444/28388/3495/28457/3665/28452/28468/28394/5777/28424/28448/972/3560/6778/710/28408/28450/2213/28473/28423/1439/28420/2212/3133/28439/28395/2207/3566/28434/2302/10312/3635/8741/5788/939/28429/374383/3514/958/3537/28396/1191,58
GO:0002449,lymphocyte mediated immunity,87/1943,386/18986,0.22538860103626943,2.2023818730183278,8.058389953766193,8.365839192923941e-13,1.192968668910954e-9,1.0946040122952062e-9,56941/3493/3500/3494/3502/3507/3539/3538/2214/3503/713/3134/3501/714/712/28442/3965/28392/28444/28388/84861/3495/28457/7133/3665/28452/28468/28394/5777/28424/28448/972/3560/6778/710/28408/28450/2213/10865/2671/28473/5551/3122/28423/10859/1439/28420/11151/3575/2212/3133/28439/28395/4818/2207/3566/3824/914/28434/2302/10312/925/3635/11006/114836/8741/5788/64005/939/201294/3554/911/115727/54440/3123/28429/1512/374383/3514/6693/3383/634/958/3537/28396/1191/8284,87
GO:0019724,B cell mediated immunity,58/1943,212/18986,0.27358490566037735,2.6733314559279076,8.272564803398987,1.4548913705293084e-12,1.659740075499835e-9,1.5228883987940466e-9,56941/3493/3500/3494/3502/3507/3539/3538/2214/3503/713/3501/714/712/28442/28392/28444/28388/3495/28457/3665/28452/28468/28394/5777/28424/28448/972/3560/6778/710/28408/28450/2213/28473/28423/1439/28420/2212/3133/28439/28395/2207/3566/28434/2302/10312/3635/8741/5788/939/28429/374383/3514/958/3537/28396/1191,58
GO:0002478,antigen processing and presentation of exogenous peptide antigen,21/1943,41/18986,0.5121951219512195,5.004908175690094,8.66773980094727,5.204578696818385e-11,4.947819481108678e-8,4.5398535579966684e-8,1515/1514/10437/3134/219972/972/2213/3122/3113/3133/3115/2207/3117/3109/8722/3108/3111/3123/1509/3127/3119,21
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,18/1943,31/18986,0.5806451612903226,5.673766871980476,8.79335643611497,7.843583572102672e-11,6.391400099324806e-8,5.8644056421796226e-8,1515/1514/10437/972/2213/3122/3113/3115/2207/3117/3109/8722/3108/3111/3123/1509/3127/3119,18
GO:0070661,leukocyte proliferation,74/1943,341/18986,0.21700879765395895,2.120498729932097,7.049787774895485,2.7519446862669905e-10,1.9621365613083642e-7,1.800351181594668e-7,100133941/7297/51237/8764/55716/2214/7940/79798/6352/916/8379/6376/3965/1725/7305/7133/1436/5777/2615/972/6778/115352/3659/2213/6556/10288/3481/3113/10859/30835/1439/199/11151/3575/2355/3133/3115/11326/10077/3109/9479/11314/64926/2302/10312/3485/3635/923/3726/11006/23308/5880/5699/7128/5788/11119/977/7535/54440/3123/1493/684/4282/3559/6693/8740/81704/958/6363/1503/1435/6480/3479/1191,74
GO:0050867,positive regulation of cell activation,81/1943,391/18986,0.2071611253196931,2.0242723238907327,6.909942039185978,4.303594338181053e-10,2.727522456109414e-7,2.502628192916514e-7,26258/56941/100133941/7297/207/8764/2214/6352/7704/916/3965/6688/1725/7305/84861/9580/9840/5777/920/7070/6366/972/59/6778/115352/64581/2621/6348/10288/3481/3122/3113/10859/30835/3561/199/11151/3575/375033/3133/3115/3566/9173/3117/3109/84630/914/64926/3485/3635/923/11006/101/23308/8741/1236/3108/5788/939/3603/6604/1960/3111/7535/54440/3123/4282/3559/6693/5341/51412/8740/81704/958/6363/3932/2812/3479/3127/4323/3119,81
GO:0050851,antigen receptor-mediated signaling pathway,53/1943,212/18986,0.25,2.4428718476582603,7.133225650224818,5.066608545119667e-10,2.889993514136258e-7,2.651702914351051e-7,9473/257144/3493/3500/3494/3502/8525/3507/3539/8517/55072/3503/9564/25865/3501/7805/916/3495/28638/9840/5777/7070/28755/115352/3937/89857/2213/153579/2355/3115/3702/11314/915/925/3635/11006/23308/1236/5788/11119/7535/150372/3123/1493/28639/919/54900/3514/634/3537/3932/640/3119,53
