sample_id,CD8_T_cells,T_helper_cells,Tregs,B_cells,Macrophages,NK_cells,Dendritic_cells,Neutrophils,Monocytes,Immune_Checkpoint,molecular_subtype
GSE118014_GSM3317251,0.1811188353472913,0.03769046175543641,-0.27616898480717306,-0.23267843355770457,0.2738855130889589,0.14771440973292985,-0.09986654956340359,-0.22602070451888032,0.21028158951872739,-0.07630695596568243,C1
GSE118014_GSM3317252,-0.043504156041599996,-0.08269488650731696,-0.43955379913879217,-0.3451113159124283,0.06925126127781797,-0.007192342812521811,-0.23994811436874697,-0.22841081955147416,-0.03231582963677154,-0.35381471118227265,C1
GSE118014_GSM3317253,0.03370950592532728,0.06331826671426184,-0.1888764560827863,-0.022945170459869345,0.33916157655437995,0.16566684648300176,0.08739484181020499,-0.2015173533931968,0.11444065891309955,-0.140450518470897,C1
GSE118014_GSM3317254,2.586080206136644e-5,0.004052551058254562,-0.2855423668960396,-0.042325043615030894,0.202963805720458,0.0953401858270005,0.0301778891932901,0.020564485820787144,0.29310520098582005,-0.2461315127113141,C1
GSE118014_GSM3317255,0.04135161348874116,-0.00960062688579355,-0.3931523826636309,-0.22166478971929024,0.15697559282902618,0.1128047444603543,-0.149897001598439,-0.2192432393936349,-0.04061670990804479,-0.18972796511382375,C1
GSE118014_GSM3317256,0.02487452311038631,0.048612965679708506,-0.2385027740955237,-0.09646680688251796,0.18815150362709324,0.09093043629463211,0.04110293248900201,-0.20956008368417522,0.1985143454374417,-0.14181189397573774,C1
GSE118014_GSM3317257,-0.0828441432317615,0.010113784359608975,-0.35288289708588905,-0.19181468116607378,0.17559197808355417,0.08853657995029894,-0.15553411429967737,-0.2037760961336604,0.06738507451622071,-0.1924668863826287,C1
GSE118014_GSM3317258,-0.27832807621131056,0.00294697487530695,-0.4475998503771484,-0.21975580377771303,0.1634146313010927,0.0488234928170339,-0.18859874980971106,-0.21861141466507777,0.07886809230894848,-0.1612328284496939,C1
GSE118014_GSM3317259,-0.05248179075480085,0.06620658086375718,-0.22918838543915407,-0.1977511720890764,0.27488031257136847,0.13948939823253648,-0.07037326292217898,-0.2015355414408762,0.22216049622773038,-0.15200312311636413,C1
GSE118014_GSM3317261,-0.033724163922043,0.014063345162275137,-0.43243475380373647,-0.19068083982305709,0.15060364785977123,0.03827488025991155,-0.1585309545507695,-0.21300870709573957,0.14462718220660348,-0.307936590607181,C1
GSE118014_GSM3317262,0.065418888848268,0.01081732432923708,-0.2329898632829279,-0.04304194642276213,0.19835694501201254,0.11921197159926146,0.04619963737379195,-0.012993280848489488,0.21397407943705593,-0.13670895504228858,C1
